no,time,count,message size,span(ns),max(ns),min(ns),avg(ns)
1,2023.03.06 15:57:41,1024,200,59800312,841840,637,58398
2,2023.03.06 15:57:44,1024,200,2065953777,2989369,1105027,2017532
3,2023.03.06 15:57:45,1024,200,150863048,937635,16442,147327
4,2023.03.06 15:57:47,1024,200,17788301,15635122,787,17371
5,2023.03.06 15:57:49,1024,200,382923032,1362265,911,373948
6,2023.03.06 15:57:51,1024,200,2506061106,3474802,1429279,2447325
7,2023.03.06 15:57:53,1024,200,605502210,1962163,215708,591310
8,2023.03.06 15:59:19,1024,200,6757627,2054304,952,6599
9,2023.03.06 15:59:36,1024,200,2019135,42289,877,1971
10,2023.03.06 15:59:38,1024,200,1568852226,5248467,922,1532082
11,2023.03.06 15:59:39,1024,200,1266996389,7750551,632603,1237301
12,2023.03.06 15:59:41,1024,200,1095347115,11176790,58432,1069674
13,2023.03.06 15:59:43,1024,200,1339743951,5781090,135737,1308343
14,2023.03.06 15:59:45,1024,200,1246109438,2303645,530072,1216903
15,2023.03.06 15:59:47,1024,200,4108671,95349,829,4012
16,2023.03.06 15:59:49,1024,200,250945332,1047387,922,245063
17,2023.03.06 15:59:51,1024,200,1970705437,2762061,1143175,1924517
18,2023.03.06 15:59:53,1024,200,13408401,7551781,691,13094
19,2023.03.06 15:59:55,1024,200,1542274878,2556496,481859,1506127
20,2023.03.06 15:59:57,1024,200,1185844347,2006795,351447,1158051
21,2023.03.06 15:59:59,1024,200,1256782982,2032033,440799,1227327
22,2023.03.06 16:00:01,1024,200,21197618,196400,797,20700
23,2023.03.06 16:00:03,1024,200,3754589555,4441240,2924944,3666591
24,2023.03.06 16:00:05,1024,200,1256998178,2043820,452719,1227537
25,2023.03.06 16:00:07,1024,200,2154871433,2992998,1293022,2104366
26,2023.03.06 16:00:09,1024,200,5399014382,6091810,4476093,5272474
27,2023.03.06 16:00:11,1024,200,2239340401,3133201,1368981,2186855
28,2023.03.06 16:00:13,1024,200,663934887,9968248,20199,648373
29,2023.03.06 16:00:14,1024,200,86223490,486896,896,84202
30,2023.03.06 16:00:16,1024,200,2806764,181028,921,2740
31,2023.03.06 16:00:18,1024,200,30692779,907938,847,29973
32,2023.03.06 16:00:20,1024,200,2144499313,2946575,1278635,2094237
33,2023.03.06 16:00:22,1024,200,77636345,10520196,708,75816
34,2023.03.06 16:00:24,1024,200,3722801,470518,883,3635
35,2023.03.06 16:07:56,1024,200,2004722,27963,916,1957
36,2023.03.06 16:07:58,1024,200,100039344,517102,925,97694
37,2023.03.06 16:08:00,1024,200,823108425,8697555,114721,803816
38,2023.03.06 16:08:02,1024,200,2666601,515276,928,2604
39,2023.03.06 16:08:04,1024,200,47320474,540537,948,46211
40,2023.03.06 16:08:06,1024,200,121668318,727284,935,118816
41,2023.03.06 16:08:08,1024,200,2912693,64376,879,2844
42,2023.03.06 16:08:10,1024,200,8479632,559995,876,8280
43,2023.03.06 16:08:12,1024,200,48836620,1367110,915,47692
44,2023.03.06 16:08:14,1024,200,1224153387,3302252,843,1195462
45,2023.03.06 16:08:16,1024,200,5865331933,6845430,4658252,5727863
46,2023.03.06 16:08:18,1024,200,2597512,80086,877,2536
47,2023.03.06 16:08:20,1024,200,1828242398,3049754,559408,1785392
48,2023.03.06 16:08:21,1024,200,1123990312,2903277,30546,1097646
49,2023.03.06 16:08:28,1024,200,2174978,26268,892,2124
50,2023.03.06 16:08:32,1024,200,5274373650,8388668,929,5150755
51,2023.03.06 16:08:36,1024,200,2039436,24262,812,1991
52,2023.03.06 16:08:40,1024,200,720104787,1489730,103347,703227
53,2023.03.06 16:08:44,1024,200,2191147,32687,831,2139
54,2023.03.06 16:08:48,1024,200,144600519,786951,896,141211
55,2023.03.06 16:08:52,1024,200,3606461445,5198926,2235792,3521935
56,2023.03.06 16:08:56,1024,200,1422104858,17650153,38623,1388774
57,2023.03.06 16:09:00,1024,200,1311357509,2137923,470650,1280622
58,2023.03.06 16:09:04,1024,200,100060162,526098,910,97715
59,2023.03.06 16:09:07,1024,200,601391518,2400217,122436,587296
60,2023.03.06 16:09:11,1024,200,3891181661,9119941,335356,3799982
61,2023.03.06 16:09:15,1024,200,4876027482,5645143,1979440,4761745
